8024.28,7360.32,7015.44,6795.32,6641.81,6529.63,6445.12,6379.79,6324.06,6281.66
4212.29,4028.44,3884.48,3763.79,3665.29,3584.37,3516.7,3462.22,3418.99,3384.23
3472.76,3236.75,3076.38,2949.72,2846.0,2758.91,2684.13,2618.69,2560.9,2509.32
2188.89,1954.28,1805.99,1707.93,1641.68,1594.64,1559.61,1532.0,1510.5,1493.58
641.183,593.37,562.888,542.514,527.618,516.38,507.674,500.78,495.223,490.676
446.512,427.907,415.105,405.873,398.552,392.384,386.992,382.169,377.786,373.753
235.927,214.6,207.124,202.982,200.096,197.949,196.091,194.243,192.613,191.072
305.883,276.947,268.939,264.142,260.656,257.738,255.152,252.792,250.587,248.496
191.334,183.052,181.202,179.446,177.759,176.134,174.567,173.056,171.596,170.185
323.888,315.577,309.287,303.941,299.242,295.028,291.197,287.682,284.41,281.337
299.994,286.553,280.734,276.328,272.715,269.44,266.388,263.508,260.774,258.17
597.158,557.464,545.818,536.402,528.001,520.228,512.883,505.873,499.142,492.649
269.761,262.081,257.079,252.688,248.726,245.105,241.763,238.595,235.48,232.581
30.5812,25.617,23.9813,23.0972,22.5563,22.1148,21.7162,21.3646,21.0439,20.7437
129.534,123.764,120.336,117.645,115.842,114.347,113.109,112.005,111.006,110.081
99.7792,91.908,86.7793,83.0336,80.1848,77.9148,76.0455,74.4292,73.1537,72.134
17.2543,18.4274,15.9876,14.9569,14.0397,13.5937,13.1305,12.8214,12.5629,12.3428
31.6642,29.9752,28.9903,28.3785,28.0889,28.0512,28.1133,28.0281,27.7535,27.3921
27.0265,25.5498,24.6558,24.0569,23.7007,23.5035,23.4913,23.6112,24.0235,24.4416
87.9715,80.5685,75.6895,72.2286,69.6578,67.7002,66.1753,64.9639,63.9802,63.1632
19.6155,18.626,18.0778,17.7709,17.5919,17.4868,17.43,17.4252,17.4842,17.6337
58.2436,55.9305,53.2062,50.2952,48.7335,47.7573,47.0993,46.6336,46.2639,45.9631
18.5492,17.0039,16.2435,15.7759,15.4547,15.2207,15.0448,14.9182,14.8051,14.6563
2.58099,2.3448,2.44689,2.81085,3.2022,3.15631,2.87105,2.46863,2.25229,2.11532
19.2045,14.932,13.6566,12.9315,12.4274,12.0509,11.7619,11.5362,11.3575,11.2145
6.1813,5.27649,4.99652,5.45933,6.03243,6.30667,5.45317,5.02747,4.5248,4.40789
1.62794,1.35416,1.19472,1.07132,0.980144,0.905875,0.842523,0.787867,0.740251,0.698725
1.29959,1.35224,2.43046,5.06587,2.86715,2.33545,1.48567,1.33486,1.18273,1.1724
1.60209,1.38762,1.45203,1.63144,1.9174,2.1359,1.99706,1.94666,1.68546,1.6101
1.23853,1.09735,1.02564,0.989042,0.9739,0.982822,1.05716,1.38095,2.24915,3.11444
3.65909,3.14859,2.83347,2.63029,2.49608,2.40461,2.33924,2.28966,2.24964,2.21577
13.809,12.3571,11.963,11.4823,10.9839,10.5839,10.3205,10.1428,10.0225,9.93737
1.53576,1.44181,1.44862,1.38184,1.42581,1.45217,1.56478,1.62102,1.7362,1.62621
1.28535,1.05534,1.05267,1.19845,1.61953,2.21672,2.36187,1.9512,1.49735,1.21248
1.16625,1.38943,1.72022,2.53937,2.09464,2.19474,1.64213,1.56698,1.25311,1.2642
